sis3_proteins,sis3_correlations,sis3_pvalue,facit_proteins,facit_correlations,facit_p-value
FHIT,-0.192134022,0.022647486,FKBP7,-0.242639818,0.03646845
CDC27,-0.193890337,0.021377661,FOXO1,-0.243724183,0.02214441
IL-1ra,-0.195127913,0.036346832,DAG1,-0.246038705,0.01935823
S100P,-0.19778628,0.023559855,CCL17,-0.246343749,0.02670801
USP8,-0.198102059,0.02224086,WFIKKN1,-0.247283197,0.00451733
PPIB,-0.199947962,0.040064644,CXCL5,-0.248074478,0.00713543
TNFRSF10A,-0.20179502,0.002146481,PPP1R2,-0.248659948,0.01389063
FOXO1,-0.202779816,0.040010918,DAB2,-0.249151443,0.0076991
NAMPT,-0.203301579,0.00495292,BACH1,-0.24948061,0.0094596
LAT,-0.203482081,0.024267452,FLRT2,-0.24969512,0.0456454
PTPN6,-0.207082033,0.027048771,ABL1,-0.252270226,0.01612087
INPPL1,-0.207957622,0.024396957,IL7,-0.253311891,0.02510202
SPARC,-0.208349814,0.044542035,YES1,-0.254282464,0.00553082
ANXA1,-0.208554923,0.012871478,NT5C3A,-0.254772444,0.01529621
NCF2,-0.209977079,0.044122992,PARK7,-0.255002835,0.03240054
ZBTB16,-0.213557369,0.01073298,CXCL1,-0.262006551,0.00901111
CLIP2,-0.213697268,0.025767903,SMAD1,-0.26219128,0.01795433
MVK,-0.21445992,0.034797597,PTPN1,-0.262833088,0.0138864
DRG2,-0.214576607,0.025699993,ICAM3,-0.262854706,0.04190289
IRF9,-0.216242895,0.004418661,CXCL1,-0.264597737,0.00734793
